fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2024-10,9434.0,21.2,12.0,75.0,0.0,1.0,4.8,999.1,4.0,1016.0,985.8,13.3,27.9,17.0,0.0,0.0,2.0,20.8,3.0,17.0,42.0,0.0,16.0,8.2,296.0,149.0,0.0,0.0,92.4,18.0,2.0,13.0,0.0,11.9,0.0,17.1,20.9,0.0,967.1,13.0
2024-11,9434.0,2.2,11.0,81.0,0.0,10.0,4.7,999.2,3.0,1022.2,991.4,8.5,22.4,13.9,0.0,0.0,2.0,22.2,0.0,17.0,48.0,0.0,7.0,1.9,269.0,121.0,0.0,4.0,7.6,6.0,0.0,12.0,0.0,7.4,0.0,12.5,16.4,1.0,975.9,4.0
2024-1,9434.0,15.2,9.0,79.0,0.0,8.0,4.8,1008.1,4.0,1022.9,991.8,3.5,20.1,10.7,0.0,0.0,1.0,19.2,1.0,21.0,50.0,0.0,8.0,-2.0,276.0,85.0,0.0,5.0,30.0,9.0,0.0,12.0,5.0,6.8,1.0,7.8,12.2,1.0,968.6,5.0
2024-2,9434.0,6.6,8.0,70.0,1.0,4.0,6.1,1005.1,9.0,1019.1,988.2,5.9,20.5,9.8,0.0,0.0,4.0,21.7,0.0,17.0,57.0,0.0,9.0,1.6,417.0,90.0,0.0,2.0,28.8,9.0,1.0,17.0,0.0,12.3,0.0,10.9,15.8,2.0,956.4,8.0
2024-3,9434.0,36.4,7.0,61.0,0.0,1.0,6.9,995.7,10.0,1010.6,980.2,7.2,27.8,12.5,0.0,0.0,0.0,18.6,1.0,24.0,58.0,0.0,11.0,1.2,329.0,95.0,1.0,0.0,49.8,14.0,0.0,14.0,0.0,12.3,0.0,13.2,19.1,0.0,959.7,6.0
2024-4,9434.0,3.4,5.0,49.0,1.0,1.0,9.6,1001.8,14.0,1017.1,986.8,9.2,30.5,15.0,2.0,0.0,9.0,22.2,0.0,15.0,71.0,0.0,7.0,5.1,451.0,89.0,0.0,0.0,9.4,7.0,1.0,19.0,0.0,13.8,0.0,15.4,21.5,0.0,968.8,3.0
2024-5,9434.0,3.4,3.0,47.0,0.0,0.0,10.5,993.7,7.0,1013.8,984.0,12.4,32.1,16.7,5.0,0.0,4.0,20.0,0.0,24.0,72.0,0.0,5.0,6.6,389.0,107.0,0.0,0.0,6.4,8.0,0.0,17.0,0.0,17.1,0.0,18.8,25.2,0.0,974.5,2.0
2024-6,9434.0,14.6,5.0,45.0,0.0,0.0,10.8,991.9,9.0,1013.1,983.8,16.9,37.2,21.2,16.0,0.0,7.0,21.4,1.0,18.0,72.0,0.0,6.0,11.9,458.0,134.0,0.0,0.0,34.4,6.0,2.0,20.0,0.0,21.9,0.0,23.4,29.9,0.0,974.3,6.0
2024-7,9434.0,13.0,3.0,42.0,1.0,0.0,12.2,992.0,9.0,1013.2,984.3,20.2,41.7,28.1,25.0,0.0,2.0,31.4,1.0,17.0,82.0,1.0,3.0,15.1,443.0,158.0,0.0,0.0,13.4,3.0,1.0,19.0,0.0,24.4,0.0,27.6,34.9,0.0,974.5,1.0
2024-8,9434.0,12.8,3.0,47.0,1.0,0.0,11.2,991.0,9.0,1013.4,984.5,20.5,40.7,23.9,26.0,0.0,14.0,26.9,1.0,14.0,81.0,1.0,6.0,16.6,415.0,171.0,0.0,0.0,30.6,5.0,4.0,16.0,0.0,27.6,0.0,27.4,34.3,0.0,976.9,6.0
2024-9,9434.0,20.8,6.0,57.0,0.0,1.0,8.6,995.8,6.0,1015.1,985.4,15.4,31.4,21.6,2.0,0.0,9.0,17.5,2.0,15.0,70.0,0.0,6.0,8.6,407.0,138.0,0.0,1.0,47.0,6.0,1.0,17.0,0.0,19.1,0.0,20.3,25.2,0.0,974.1,6.0
2024-12,9434.0,2.6,10.0,80.0,0.0,5.0,4.8,1009.4,11.0,1027.6,996.1,4.7,19.5,9.7,0.0,0.0,2.0,24.4,0.0,19.0,52.0,0.0,6.0,0.1,388.0,87.0,0.0,3.0,6.0,6.0,0.0,16.0,0.0,2.4,0.0,7.9,11.2,0.0,984.2,2.0
2024-13,9434.0,36.4,3.0,61.0,4.0,31.0,7.9,1009.4,95.0,1017.0,986.9,11.5,41.7,28.1,76.0,0.0,2.0,31.4,10.0,17.0,63.0,2.0,90.0,-2.0,378.0,119.0,1.0,15.0,355.8,97.0,12.0,16.0,5.0,2.4,1.0,16.9,22.2,4.0,956.4,62.0
